,Dealer Name,total_sales
0,DEALER 17,394
1,DEALER 1,319
2,DEALER 7,305
3,DEALER 13,222
4,DEALER 15,205
5,DEALER 16,203
6,DEALER 6,196
7,DEALER 18,189
8,DEALER 14,178
9,DEALER 3,142
10,DEALER 2,134
11,DEALER 4,131
12,DEALER 8,121
13,DEALER 5,103
14,DEALER 12,98
15,DEALER 19,97
16,DEALER 21,90
17,DEALER 22,88
18,DEALER 10,86
19,DEALER 20,45
20,DEALER 11,40
21,DEALER 9,32
