,Exterior Color,total_sales,share_pct
0,Grey3,489,14.3
1,Black2,460,13.5
2,White2,429,12.6
3,Beige,418,12.2
4,Grey1,373,10.9
5,Black1,324,9.5
6,White1,239,7.0
7,Grey2,239,7.0
8,Blue,160,4.7
9,Red2,90,2.6
10,Green1,73,2.1
11,Green3,71,2.1
12,Yellow,36,1.1
13,Red1,11,0.3
14,Grey4,4,0.1
15,Green2,1,0.0
16,Silver,1,0.0
