,dealer,top_model,top_version,top_color,total_sales
0,DEALER 17,A2,A2V02,Grey3,394
1,DEALER 1,A2,A2V02,Black2,319
2,DEALER 7,A2,A2V02,Black2,305
3,DEALER 13,A2,A2V02,Black2,222
4,DEALER 15,A2,A2V02,Grey3,205
5,DEALER 16,A2,A2V02,Black1,203
6,DEALER 6,A2,A2V02,Beige,196
7,DEALER 18,A2,A2V02,Beige,189
8,DEALER 14,A2,A2V02,Grey3,178
9,DEALER 3,A2,A2V02,Beige,142
10,DEALER 2,A2,A2V02,White2,134
11,DEALER 4,A2,A2V02,Beige,131
12,DEALER 8,A2,A2V02,Black2,121
13,DEALER 5,A2,A2V02,Black1,103
14,DEALER 12,A2,A2V02,Grey1,98
15,DEALER 19,A2,A2V02,Black2,97
16,DEALER 21,A2,A2V02,Grey3,90
17,DEALER 22,A2,A2V02,Grey3,88
18,DEALER 10,A2,A2V02,Beige,86
19,DEALER 20,A2,A2V02,Black2,45
20,DEALER 11,A2,A2V02,Grey1,40
21,DEALER 9,A2,A2V02,Black2,32
