,year,month,sales_qty,year_month
0,2025,1,166,2025-01
1,2025,2,179,2025-02
2,2025,3,254,2025-03
3,2025,4,235,2025-04
4,2025,5,250,2025-05
5,2025,6,238,2025-06
6,2025,7,302,2025-07
7,2025,8,317,2025-08
8,2025,9,348,2025-09
9,2025,10,310,2025-10
10,2025,11,320,2025-11
11,2025,12,499,2025-12
