dealer,color,month,month_name,si
DEALER 11,Grey3,2,Şubat,2.0
DEALER 11,Grey3,3,Mart,1.3333
DEALER 11,Grey3,4,Nisan,1.3333
DEALER 11,Grey3,5,Mayıs,1.3333
DEALER 11,Grey3,6,Haziran,1.3333
DEALER 11,Grey3,7,Temmuz,0.0
DEALER 11,Grey3,8,Ağustos,0.0
DEALER 11,Grey3,9,Eylül,0.0
DEALER 11,Grey3,10,Ekim,0.0
DEALER 11,Grey3,11,Kasım,0.0
DEALER 11,Grey3,12,Aralık,1.3333
DEALER 11,White2,1,Ocak,0.0
DEALER 11,White2,2,Şubat,0.0
DEALER 11,White2,3,Mart,0.0
DEALER 11,White2,4,Nisan,1.7143
DEALER 11,White2,5,Mayıs,0.0
DEALER 11,White2,6,Haziran,1.7143
DEALER 11,White2,7,Temmuz,1.7143
DEALER 11,White2,8,Ağustos,2.5714
DEALER 11,White2,9,Eylül,0.0
DEALER 11,White2,10,Ekim,1.7143
DEALER 11,White2,11,Kasım,0.0
DEALER 11,White2,12,Aralık,2.5714
DEALER 11,Grey1,1,Ocak,0.0
DEALER 11,Grey1,2,Şubat,0.0
DEALER 11,Grey1,3,Mart,0.0
DEALER 11,Grey1,4,Nisan,0.0
DEALER 11,Grey1,5,Mayıs,0.0
DEALER 11,Grey1,6,Haziran,2.4
DEALER 11,Grey1,7,Temmuz,2.4
DEALER 11,Grey1,8,Ağustos,0.0
DEALER 11,Grey1,9,Eylül,1.2
DEALER 11,Grey1,10,Ekim,0.0
DEALER 11,Grey1,11,Kasım,0.0
DEALER 11,Grey1,12,Aralık,6.0
DEALER 11,Beige,1,Ocak,0.0
DEALER 11,Beige,2,Şubat,1.3333
DEALER 11,Beige,3,Mart,0.0
DEALER 11,Beige,4,Nisan,1.3333
DEALER 11,Beige,5,Mayıs,0.0
DEALER 11,Beige,6,Haziran,1.3333
DEALER 11,Beige,7,Temmuz,1.3333
DEALER 11,Beige,8,Ağustos,1.3333
DEALER 11,Beige,9,Eylül,0.0
DEALER 11,Beige,10,Ekim,0.0
DEALER 11,Beige,11,Kasım,0.0
DEALER 11,Beige,12,Aralık,5.3333
DEALER 11,Black1,1,Ocak,1.3333
DEALER 11,Black1,2,Şubat,2.6667
DEALER 11,Black1,3,Mart,1.3333
DEALER 11,Black1,4,Nisan,1.3333
DEALER 11,Black1,5,Mayıs,4.0
DEALER 11,Black1,6,Haziran,0.0
DEALER 11,Black1,7,Temmuz,0.0
DEALER 11,Black1,8,Ağustos,0.0
DEALER 11,Black1,9,Eylül,1.3333
DEALER 11,Black1,10,Ekim,0.0
