dealer,model,month,month_name,si
DEALER 11,A3,7,Temmuz,0.8571
DEALER 11,A3,8,Ağustos,0.8571
DEALER 11,A3,9,Eylül,0.0
DEALER 11,A3,10,Ekim,0.0
DEALER 11,A3,11,Kasım,0.0
DEALER 11,A3,12,Aralık,1.7143
DEALER 11,B1,1,Ocak,1.0
DEALER 11,B1,2,Şubat,1.0
DEALER 11,B1,3,Mart,2.0
DEALER 11,B1,4,Nisan,1.0
DEALER 11,B1,5,Mayıs,2.0
DEALER 11,B1,6,Haziran,1.0
DEALER 11,B1,7,Temmuz,0.0
DEALER 11,B1,8,Ağustos,0.0
DEALER 11,B1,9,Eylül,1.0
DEALER 11,B1,10,Ekim,1.0
DEALER 11,B1,11,Kasım,1.0
DEALER 11,B1,12,Aralık,1.0
DEALER 11,C1,1,Ocak,4.3636
DEALER 11,C1,2,Şubat,3.2727
DEALER 11,C1,3,Mart,0.0
DEALER 11,C1,4,Nisan,1.0909
DEALER 11,C1,5,Mayıs,0.0
DEALER 11,C1,6,Haziran,0.0
DEALER 11,C1,7,Temmuz,0.0
DEALER 11,C1,8,Ağustos,0.0
DEALER 11,C1,9,Eylül,1.0909
DEALER 11,C1,10,Ekim,0.0
DEALER 11,C1,11,Kasım,1.0909
DEALER 11,C1,12,Aralık,1.0909
DEALER 12,A2,1,Ocak,0.699
DEALER 12,A2,2,Şubat,0.699
DEALER 12,A2,3,Mart,0.932
DEALER 12,A2,4,Nisan,1.165
DEALER 12,A2,5,Mayıs,0.932
DEALER 12,A2,6,Haziran,0.699
DEALER 12,A2,7,Temmuz,1.165
DEALER 12,A2,8,Ağustos,1.3981
DEALER 12,A2,9,Eylül,1.3981
DEALER 12,A2,10,Ekim,0.932
DEALER 12,A2,11,Kasım,0.466
DEALER 12,A2,12,Aralık,1.5146
DEALER 12,A3,1,Ocak,0.973
DEALER 12,A3,2,Şubat,1.2973
DEALER 12,A3,3,Mart,0.973
DEALER 12,A3,4,Nisan,0.6486
DEALER 12,A3,5,Mayıs,0.973
DEALER 12,A3,6,Haziran,1.9459
DEALER 12,A3,7,Temmuz,1.6216
DEALER 12,A3,8,Ağustos,0.973
DEALER 12,A3,9,Eylül,0.6486
DEALER 12,A3,10,Ekim,0.6486
DEALER 12,A3,11,Kasım,0.0
DEALER 12,A3,12,Aralık,1.2973
DEALER 12,B1,1,Ocak,1.0345
DEALER 12,B1,2,Şubat,0.8276
DEALER 12,B1,3,Mart,1.6552
DEALER 12,B1,4,Nisan,0.8276
DEALER 12,B1,5,Mayıs,0.8276
DEALER 12,B1,6,Haziran,1.4483
DEALER 12,B1,7,Temmuz,0.8276
DEALER 12,B1,8,Ağustos,1.4483
DEALER 12,B1,9,Eylül,1.0345
DEALER 12,B1,10,Ekim,0.8276
DEALER 12,B1,11,Kasım,0.8276
DEALER 12,B1,12,Aralık,0.4138
DEALER 12,C1,1,Ocak,5.76
DEALER 12,C1,2,Şubat,1.44
DEALER 12,C1,3,Mart,0.0
DEALER 12,C1,4,Nisan,0.48
DEALER 12,C1,5,Mayıs,0.48
DEALER 12,C1,6,Haziran,1.92
DEALER 12,C1,7,Temmuz,0.0
DEALER 12,C1,8,Ağustos,0.0
DEALER 12,C1,9,Eylül,0.48
DEALER 12,C1,10,Ekim,0.96
DEALER 12,C1,11,Kasım,0.0
DEALER 12,C1,12,Aralık,0.48
DEALER 13,A1,1,Ocak,0.0
DEALER 13,A1,2,Şubat,0.0
DEALER 13,A1,3,Mart,0.0
DEALER 13,A1,4,Nisan,0.0
DEALER 13,A1,5,Mayıs,0.0
DEALER 13,A1,6,Haziran,0.0
DEALER 13,A1,7,Temmuz,0.0
DEALER 13,A1,8,Ağustos,0.0
DEALER 13,A1,9,Eylül,4.8
DEALER 13,A1,10,Ekim,0.0
DEALER 13,A1,11,Kasım,3.6
DEALER 13,A1,12,Aralık,3.6
DEALER 13,A2,1,Ocak,0.9032
DEALER 13,A2,2,Şubat,0.6452
DEALER 13,A2,3,Mart,0.3871
DEALER 13,A2,4,Nisan,1.0323
DEALER 13,A2,5,Mayıs,1.1613
DEALER 13,A2,6,Haziran,1.0323
DEALER 13,A2,7,Temmuz,0.7097
DEALER 13,A2,8,Ağustos,1.0323
DEALER 13,A2,9,Eylül,1.0323
DEALER 13,A2,10,Ekim,1.2258
DEALER 13,A2,11,Kasım,0.9677
DEALER 13,A2,12,Aralık,1.871
DEALER 13,A3,1,Ocak,0.9114
DEALER 13,A3,2,Şubat,1.2152
DEALER 13,A3,3,Mart,0.9114
DEALER 13,A3,4,Nisan,0.7595
DEALER 13,A3,5,Mayıs,0.3038
DEALER 13,A3,6,Haziran,1.2152
DEALER 13,A3,7,Temmuz,1.2152
DEALER 13,A3,8,Ağustos,1.2152
DEALER 13,A3,9,Eylül,1.519
DEALER 13,A3,10,Ekim,0.7595
DEALER 13,A3,11,Kasım,0.6076
DEALER 13,A3,12,Aralık,1.3671
DEALER 13,B1,1,Ocak,0.8348
DEALER 13,B1,2,Şubat,1.6696
DEALER 13,B1,3,Mart,1.5652
DEALER 13,B1,4,Nisan,0.9391
DEALER 13,B1,5,Mayıs,0.8348
DEALER 13,B1,6,Haziran,0.313
DEALER 13,B1,7,Temmuz,1.2522
DEALER 13,B1,8,Ağustos,1.1478
DEALER 13,B1,9,Eylül,0.7304
DEALER 13,B1,10,Ekim,0.8348
DEALER 13,B1,11,Kasım,1.1478
DEALER 13,B1,12,Aralık,0.7304
DEALER 13,C1,1,Ocak,4.5882
DEALER 13,C1,2,Şubat,1.0588
DEALER 13,C1,3,Mart,0.3529
DEALER 13,C1,4,Nisan,0.3529
DEALER 13,C1,5,Mayıs,0.3529
DEALER 13,C1,6,Haziran,1.0588
DEALER 13,C1,7,Temmuz,0.7059
DEALER 13,C1,8,Ağustos,0.3529
DEALER 13,C1,9,Eylül,1.4118
DEALER 13,C1,10,Ekim,0.7059
DEALER 13,C1,11,Kasım,0.7059
DEALER 13,C1,12,Aralık,0.3529
DEALER 14,A2,1,Ocak,0.7956
DEALER 14,A2,2,Şubat,0.663
DEALER 14,A2,3,Mart,0.7956
DEALER 14,A2,4,Nisan,0.3978
DEALER 14,A2,5,Mayıs,1.0608
DEALER 14,A2,6,Haziran,0.5304
DEALER 14,A2,7,Temmuz,0.4641
DEALER 14,A2,8,Ağustos,0.9945
DEALER 14,A2,9,Eylül,1.7238
DEALER 14,A2,10,Ekim,1.5249
DEALER 14,A2,11,Kasım,1.0608
DEALER 14,A2,12,Aralık,1.989
DEALER 14,A3,1,Ocak,1.7727
DEALER 14,A3,2,Şubat,0.5455
DEALER 14,A3,3,Mart,0.9545
DEALER 14,A3,4,Nisan,0.8182
DEALER 14,A3,5,Mayıs,0.5455
DEALER 14,A3,6,Haziran,1.3636
DEALER 14,A3,7,Temmuz,0.8182
DEALER 14,A3,8,Ağustos,0.2727
DEALER 14,A3,9,Eylül,0.5455
DEALER 14,A3,10,Ekim,0.2727
DEALER 14,A3,11,Kasım,1.0909
DEALER 14,A3,12,Aralık,3.0
DEALER 14,B1,1,Ocak,1.2468
DEALER 14,B1,2,Şubat,0.9351
DEALER 14,B1,3,Mart,2.1818
DEALER 14,B1,4,Nisan,0.6234
DEALER 14,B1,5,Mayıs,0.4675
DEALER 14,B1,6,Haziran,1.4026
DEALER 14,B1,7,Temmuz,1.0909
DEALER 14,B1,8,Ağustos,0.7792
DEALER 14,B1,9,Eylül,1.2468
DEALER 14,B1,10,Ekim,0.4675
DEALER 14,B1,11,Kasım,0.3117
DEALER 14,B1,12,Aralık,1.2468
DEALER 14,C1,1,Ocak,3.75
DEALER 14,C1,2,Şubat,1.75
DEALER 14,C1,3,Mart,0.25
DEALER 14,C1,4,Nisan,0.0
DEALER 14,C1,5,Mayıs,0.5
DEALER 14,C1,6,Haziran,3.5
DEALER 14,C1,7,Temmuz,0.25
DEALER 14,C1,8,Ağustos,0.5
DEALER 14,C1,9,Eylül,0.75
DEALER 14,C1,10,Ekim,0.5
DEALER 14,C1,11,Kasım,0.25
DEALER 14,C1,12,Aralık,0.0
DEALER 15,A2,1,Ocak,0.7059
DEALER 15,A2,2,Şubat,0.1412
DEALER 15,A2,3,Mart,0.4235
DEALER 15,A2,4,Nisan,0.7059
DEALER 15,A2,5,Mayıs,1.1294
DEALER 15,A2,6,Haziran,0.7059
DEALER 15,A2,7,Temmuz,0.9882
DEALER 15,A2,8,Ağustos,1.2706
DEALER 15,A2,9,Eylül,1.2706
DEALER 15,A2,10,Ekim,1.3412
DEALER 15,A2,11,Kasım,1.8353
DEALER 15,A2,12,Aralık,1.4824
DEALER 15,A3,1,Ocak,1.0992
DEALER 15,A3,2,Şubat,1.0076
DEALER 15,A3,3,Mart,2.1985
DEALER 15,A3,4,Nisan,1.4656
DEALER 15,A3,5,Mayıs,0.5496
DEALER 15,A3,6,Haziran,1.374
DEALER 15,A3,7,Temmuz,1.374
DEALER 15,A3,8,Ağustos,0.1832
DEALER 15,A3,9,Eylül,0.3664
DEALER 15,A3,10,Ekim,0.5496
DEALER 15,A3,11,Kasım,0.7328
DEALER 15,A3,12,Aralık,1.0992
DEALER 15,B1,1,Ocak,0.3564
DEALER 15,B1,2,Şubat,1.7822
DEALER 15,B1,3,Mart,2.3762
DEALER 15,B1,4,Nisan,0.9505
DEALER 15,B1,5,Mayıs,0.7129
DEALER 15,B1,6,Haziran,0.5941
DEALER 15,B1,7,Temmuz,0.9505
DEALER 15,B1,8,Ağustos,2.0198
DEALER 15,B1,9,Eylül,0.7129
DEALER 15,B1,10,Ekim,0.7129
DEALER 15,B1,11,Kasım,0.0
DEALER 15,B1,12,Aralık,0.8317
DEALER 15,C1,1,Ocak,4.5176
DEALER 15,C1,2,Şubat,1.6941
DEALER 15,C1,3,Mart,0.2824
DEALER 15,C1,4,Nisan,0.2824
DEALER 15,C1,5,Mayıs,0.7059
DEALER 15,C1,6,Haziran,0.5647
DEALER 15,C1,7,Temmuz,0.5647
DEALER 15,C1,8,Ağustos,0.2824
DEALER 15,C1,9,Eylül,0.5647
DEALER 15,C1,10,Ekim,1.1294
DEALER 15,C1,11,Kasım,1.4118
DEALER 15,C1,12,Aralık,0.0
DEALER 16,A2,1,Ocak,1.0701
DEALER 16,A2,2,Şubat,0.9172
DEALER 16,A2,3,Mart,0.4586
DEALER 16,A2,4,Nisan,1.3758
DEALER 16,A2,5,Mayıs,0.4586
DEALER 16,A2,6,Haziran,1.1465
DEALER 16,A2,7,Temmuz,0.9172
DEALER 16,A2,8,Ağustos,0.7643
DEALER 16,A2,9,Eylül,1.2229
DEALER 16,A2,10,Ekim,1.2994
DEALER 16,A2,11,Kasım,0.8408
DEALER 16,A2,12,Aralık,1.5287
DEALER 16,A3,1,Ocak,0.9767
DEALER 16,A3,2,Şubat,1.814
DEALER 16,A3,3,Mart,2.093
DEALER 16,A3,4,Nisan,0.8372
DEALER 16,A3,5,Mayıs,0.8372
DEALER 16,A3,6,Haziran,0.8372
DEALER 16,A3,7,Temmuz,1.1163
DEALER 16,A3,8,Ağustos,1.2558
DEALER 16,A3,9,Eylül,0.2791
DEALER 16,A3,10,Ekim,0.6977
DEALER 16,A3,11,Kasım,0.2791
DEALER 16,A3,12,Aralık,0.9767
DEALER 16,B1,1,Ocak,0.7328
DEALER 16,B1,2,Şubat,1.0992
DEALER 16,B1,3,Mart,2.1069
DEALER 16,B1,4,Nisan,0.6412
DEALER 16,B1,5,Mayıs,0.916
DEALER 16,B1,6,Haziran,0.916
DEALER 16,B1,7,Temmuz,0.916
DEALER 16,B1,8,Ağustos,1.7405
DEALER 16,B1,9,Eylül,0.7328
DEALER 16,B1,10,Ekim,1.1908
DEALER 16,B1,11,Kasım,0.3664
DEALER 16,B1,12,Aralık,0.6412
DEALER 16,C1,1,Ocak,4.7143
DEALER 16,C1,2,Şubat,1.0714
DEALER 16,C1,3,Mart,0.2143
DEALER 16,C1,4,Nisan,0.5357
DEALER 16,C1,5,Mayıs,0.8571
DEALER 16,C1,6,Haziran,0.75
DEALER 16,C1,7,Temmuz,0.8571
DEALER 16,C1,8,Ağustos,0.6429
DEALER 16,C1,9,Eylül,0.2143
DEALER 16,C1,10,Ekim,0.8571
DEALER 16,C1,11,Kasım,1.0714
DEALER 16,C1,12,Aralık,0.2143
DEALER 17,A1,1,Ocak,0.0
DEALER 17,A1,2,Şubat,0.0
DEALER 17,A1,3,Mart,0.0
DEALER 17,A1,4,Nisan,0.0
DEALER 17,A1,5,Mayıs,0.0
DEALER 17,A1,6,Haziran,0.0
DEALER 17,A1,7,Temmuz,0.0
DEALER 17,A1,8,Ağustos,0.0
DEALER 17,A1,9,Eylül,3.6923
DEALER 17,A1,10,Ekim,0.0
DEALER 17,A1,11,Kasım,1.8462
DEALER 17,A1,12,Aralık,6.4615
DEALER 17,A2,1,Ocak,0.3861
DEALER 17,A2,2,Şubat,0.4504
DEALER 17,A2,3,Mart,0.4504
DEALER 17,A2,4,Nisan,0.9008
DEALER 17,A2,5,Mayıs,1.6729
DEALER 17,A2,6,Haziran,0.2252
DEALER 17,A2,7,Temmuz,2.1555
DEALER 17,A2,8,Ağustos,1.0938
DEALER 17,A2,9,Eylül,1.7373
DEALER 17,A2,10,Ekim,1.1903
DEALER 17,A2,11,Kasım,0.5469
DEALER 17,A2,12,Aralık,1.1903
DEALER 17,A3,1,Ocak,1.3793
DEALER 17,A3,2,Şubat,4.046
DEALER 17,A3,3,Mart,0.2759
DEALER 17,A3,4,Nisan,0.5057
DEALER 17,A3,5,Mayıs,0.7356
DEALER 17,A3,6,Haziran,2.6667
DEALER 17,A3,7,Temmuz,0.2299
DEALER 17,A3,8,Ağustos,0.5057
DEALER 17,A3,9,Eylül,0.1839
DEALER 17,A3,10,Ekim,0.4138
DEALER 17,A3,11,Kasım,0.2299
DEALER 17,A3,12,Aralık,0.8276
DEALER 17,B1,1,Ocak,0.2647
DEALER 17,B1,2,Şubat,1.8529
DEALER 17,B1,3,Mart,1.4118
DEALER 17,B1,4,Nisan,1.4118
DEALER 17,B1,5,Mayıs,0.8824
DEALER 17,B1,6,Haziran,0.3529
DEALER 17,B1,7,Temmuz,0.7941
DEALER 17,B1,8,Ağustos,1.8529
DEALER 17,B1,9,Eylül,0.4412
DEALER 17,B1,10,Ekim,1.7647
DEALER 17,B1,11,Kasım,0.2647
DEALER 17,B1,12,Aralık,0.7059
DEALER 17,C1,1,Ocak,1.5057
DEALER 17,C1,2,Şubat,3.4677
DEALER 17,C1,3,Mart,1.0951
DEALER 17,C1,4,Nisan,0.0913
DEALER 17,C1,5,Mayıs,2.0076
DEALER 17,C1,6,Haziran,0.2738
DEALER 17,C1,7,Temmuz,0.8213
DEALER 17,C1,8,Ağustos,0.2738
DEALER 17,C1,9,Eylül,1.4601
DEALER 17,C1,10,Ekim,0.365
DEALER 17,C1,11,Kasım,0.6388
DEALER 17,C1,12,Aralık,0.0
DEALER 18,A1,1,Ocak,0.0
DEALER 18,A1,2,Şubat,0.0
DEALER 18,A1,3,Mart,0.0
DEALER 18,A1,4,Nisan,0.0
DEALER 18,A1,5,Mayıs,0.0
DEALER 18,A1,6,Haziran,0.0
DEALER 18,A1,7,Temmuz,0.0
DEALER 18,A1,8,Ağustos,0.0
DEALER 18,A1,9,Eylül,2.4
DEALER 18,A1,10,Ekim,0.0
DEALER 18,A1,11,Kasım,7.2
DEALER 18,A1,12,Aralık,2.4
DEALER 18,A2,1,Ocak,0.9711
DEALER 18,A2,2,Şubat,0.4162
DEALER 18,A2,3,Mart,1.2486
DEALER 18,A2,4,Nisan,0.4162
DEALER 18,A2,5,Mayıs,0.5549
DEALER 18,A2,6,Haziran,0.8324
DEALER 18,A2,7,Temmuz,0.5549
DEALER 18,A2,8,Ağustos,1.1792
DEALER 18,A2,9,Eylül,1.3179
DEALER 18,A2,10,Ekim,1.0405
DEALER 18,A2,11,Kasım,0.9711
DEALER 18,A2,12,Aralık,2.4971
DEALER 18,A3,1,Ocak,1.5
DEALER 18,A3,2,Şubat,1.7143
DEALER 18,A3,3,Mart,1.7143
DEALER 18,A3,4,Nisan,0.8571
DEALER 18,A3,5,Mayıs,0.0
DEALER 18,A3,6,Haziran,1.0714
DEALER 18,A3,7,Temmuz,1.0714
DEALER 18,A3,8,Ağustos,0.6429
DEALER 18,A3,9,Eylül,0.6429
DEALER 18,A3,10,Ekim,0.0
DEALER 18,A3,11,Kasım,1.0714
DEALER 18,A3,12,Aralık,1.7143
DEALER 18,B1,1,Ocak,0.7368
DEALER 18,B1,2,Şubat,0.4211
DEALER 18,B1,3,Mart,2.4211
DEALER 18,B1,4,Nisan,1.5789
DEALER 18,B1,5,Mayıs,0.6316
DEALER 18,B1,6,Haziran,1.0526
DEALER 18,B1,7,Temmuz,1.0526
DEALER 18,B1,8,Ağustos,1.6842
DEALER 18,B1,9,Eylül,0.5263
DEALER 18,B1,10,Ekim,0.6316
DEALER 18,B1,11,Kasım,0.5263
DEALER 18,B1,12,Aralık,0.7368
DEALER 18,C1,1,Ocak,3.8049
DEALER 18,C1,2,Şubat,2.3415
DEALER 18,C1,3,Mart,0.5854
DEALER 18,C1,4,Nisan,0.2927
DEALER 18,C1,5,Mayıs,0.2927
DEALER 18,C1,6,Haziran,0.2927
DEALER 18,C1,7,Temmuz,0.5854
DEALER 18,C1,8,Ağustos,0.878
DEALER 18,C1,9,Eylül,0.5854
DEALER 18,C1,10,Ekim,0.2927
DEALER 18,C1,11,Kasım,1.4634
DEALER 18,C1,12,Aralık,0.5854
DEALER 19,A2,1,Ocak,1.2632
DEALER 19,A2,2,Şubat,0.6316
DEALER 19,A2,3,Mart,0.3158
DEALER 19,A2,4,Nisan,0.3158
DEALER 19,A2,5,Mayıs,1.8947
DEALER 19,A2,6,Haziran,0.6316
DEALER 19,A2,7,Temmuz,0.4737
DEALER 19,A2,8,Ağustos,0.9474
DEALER 19,A2,9,Eylül,0.6316
DEALER 19,A2,10,Ekim,0.7895
DEALER 19,A2,11,Kasım,2.5263
DEALER 19,A2,12,Aralık,1.5789
DEALER 19,A3,1,Ocak,0.6
DEALER 19,A3,2,Şubat,0.6
DEALER 19,A3,3,Mart,1.5
DEALER 19,A3,4,Nisan,0.6
DEALER 19,A3,5,Mayıs,2.4
DEALER 19,A3,6,Haziran,1.2
DEALER 19,A3,7,Temmuz,0.6
DEALER 19,A3,8,Ağustos,0.6
DEALER 19,A3,9,Eylül,1.2
DEALER 19,A3,10,Ekim,0.6
DEALER 19,A3,11,Kasım,0.9
DEALER 19,A3,12,Aralık,1.2
DEALER 19,B1,1,Ocak,0.8136
DEALER 19,B1,2,Şubat,1.0169
DEALER 19,B1,3,Mart,2.0339
DEALER 19,B1,4,Nisan,0.6102
DEALER 19,B1,5,Mayıs,1.2203
DEALER 19,B1,6,Haziran,0.6102
DEALER 19,B1,7,Temmuz,0.4068
