,Dealer Name,total_sales
0,DEALER 17,838
1,DEALER 1,582
2,DEALER 7,529
3,DEALER 16,421
4,DEALER 15,407
5,DEALER 13,380
6,DEALER 6,380
7,DEALER 18,356
8,DEALER 14,347
9,DEALER 3,266
10,DEALER 4,240
11,DEALER 8,208
12,DEALER 2,202
13,DEALER 5,196
14,DEALER 12,194
15,DEALER 19,176
16,DEALER 21,169
17,DEALER 10,166
18,DEALER 22,148
19,DEALER 11,85
20,DEALER 20,80
21,DEALER 9,69
