,model,version,total_sales,share_pct
0,A2,A2V02,1794,27.9
1,A3,A3V02,1197,18.6
2,B1,B1V01,760,11.8
3,A2,A2V01,723,11.2
4,C1,C1V01,675,10.5
5,B1,B1V02,557,8.7
6,B1,B1V01a,214,3.3
7,C1,C1V03,172,2.7
8,A1,A1V01,107,1.7
9,A3,A3V01,103,1.6
10,B1,B1V03,98,1.5
11,D1,D1V01,22,0.3
12,B2,B2V01a,16,0.2
13,A1,A1V02,1,0.0
