,Exterior Color,total_sales,share_pct
0,Grey3,913,14.2
1,Grey2,758,11.8
2,Black1,739,11.5
3,Black2,709,11.0
4,Beige,677,10.5
5,White2,671,10.4
6,Blue,448,7.0
7,White1,412,6.4
8,Grey1,373,5.8
9,Green1,196,3.0
10,Yellow,194,3.0
11,Red2,192,3.0
12,Red1,73,1.1
13,Green3,71,1.1
14,Grey4,5,0.1
15,Silver,4,0.1
16,Green2,2,0.0
17,Grey5,2,0.0
