,year,month,channel,metric_type,value
0,2024,JAN'24,ALL,achievement_pct,115.69
1,2024,FEB'24,ALL,achievement_pct,94.27
2,2024,MAR'24,ALL,achievement_pct,99.24
3,2024,APR'24,ALL,achievement_pct,72.05
4,2024,MAY'24,ALL,achievement_pct,78.61
5,2024,JUN'24,ALL,achievement_pct,107.69
6,2024,JUL'24,ALL,achievement_pct,89.59
7,2024,AUG'24,ALL,achievement_pct,99.69
8,2024,SEP'24,ALL,achievement_pct,85.5
9,2024,OCT'24,ALL,achievement_pct,93.55
10,2024,NOV'24,ALL,achievement_pct,86.22
11,2024,DEC'24,ALL,achievement_pct,116.04
12,2024,JAN'24,B2B+B2C,target,348.0
13,2024,FEB'24,B2B+B2C,target,394.0
14,2024,MAR'24,B2B+B2C,target,278.0
15,2024,APR'24,B2B+B2C,target,163.0
16,2024,MAY'24,B2B+B2C,target,253.0
17,2024,JUN'24,B2B+B2C,target,269.0
18,2024,JUL'24,B2B+B2C,target,281.0
19,2024,AUG'24,B2B+B2C,target,348.0
20,2024,SEP'24,B2B+B2C,target,281.0
21,2024,OCT'24,B2B+B2C,target,249.0
22,2024,NOV'24,B2B+B2C,target,262.0
23,2024,DEC'24,B2B+B2C,target,299.0
24,2024,JAN'24,B2B,target,37.0
25,2024,FEB'24,B2B,target,76.0
26,2024,MAR'24,B2B,target,11.0
27,2024,APR'24,B2B,target,5.0
28,2024,MAY'24,B2B,target,63.0
29,2024,JUN'24,B2B,target,59.0
30,2024,JUL'24,B2B,target,9.0
31,2024,AUG'24,B2B,target,28.0
32,2024,SEP'24,B2B,target,15.0
33,2024,OCT'24,B2B,target,0.0
34,2024,NOV'24,B2B,target,12.0
35,2024,DEC'24,B2B,target,11.0
36,2024,JAN'24,B2C,target,311.0
37,2024,FEB'24,B2C,target,318.0
38,2024,MAR'24,B2C,target,267.0
39,2024,APR'24,B2C,target,158.0
40,2024,MAY'24,B2C,target,190.0
41,2024,JUN'24,B2C,target,210.0
42,2024,JUL'24,B2C,target,272.0
43,2024,AUG'24,B2C,target,320.0
44,2024,SEP'24,B2C,target,266.0
45,2024,OCT'24,B2C,target,249.0
46,2024,NOV'24,B2C,target,250.0
47,2024,DEC'24,B2C,target,288.0
48,2024,JAN'24,B2B,achievement,42.0
49,2024,FEB'24,B2B,achievement,70.0
50,2024,MAR'24,B2B,achievement,11.0
51,2024,APR'24,B2B,achievement,4.0
52,2024,MAY'24,B2B,achievement,49.0
53,2024,JUN'24,B2B,achievement,63.0
54,2024,JUL'24,B2B,achievement,8.0
55,2024,AUG'24,B2B,achievement,27.0
56,2024,SEP'24,B2B,achievement,13.0
57,2024,OCT'24,B2B,achievement,0.0
58,2024,NOV'24,B2B,achievement,10.0
59,2024,DEC'24,B2B,achievement,12.0
60,2024,JAN'24,B2C,achievement,355.0
61,2024,FEB'24,B2C,achievement,296.0
62,2024,MAR'24,B2C,achievement,261.0
63,2024,APR'24,B2C,achievement,112.0
64,2024,MAY'24,B2C,achievement,147.0
65,2024,JUN'24,B2C,achievement,223.0
66,2024,JUL'24,B2C,achievement,240.0
67,2024,AUG'24,B2C,achievement,315.0
68,2024,SEP'24,B2C,achievement,224.0
69,2024,OCT'24,B2C,achievement,230.0
70,2024,NOV'24,B2C,achievement,213.0
71,2024,DEC'24,B2C,achievement,330.0
72,2024,JAN'24,B2B+B2C,achievement,397.0
73,2024,FEB'24,B2B+B2C,achievement,366.0
74,2024,MAR'24,B2B+B2C,achievement,272.0
75,2024,APR'24,B2B+B2C,achievement,116.0
76,2024,MAY'24,B2B+B2C,achievement,196.0
77,2024,JUN'24,B2B+B2C,achievement,286.0
78,2024,JUL'24,B2B+B2C,achievement,248.0
79,2024,AUG'24,B2B+B2C,achievement,342.0
80,2024,SEP'24,B2B+B2C,achievement,237.0
81,2024,OCT'24,B2B+B2C,achievement,230.0
82,2024,NOV'24,B2B+B2C,achievement,223.0
83,2024,DEC'24,B2B+B2C,achievement,342.0
