Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000031;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000032;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000033;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000034;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000035;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000036;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000037;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;4.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;4.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000038;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000039;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000040;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000041;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000042;A3;A3V02;M8;2026;Color;Black2;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000043;A3;A3V02;M8;2026;Color;Black2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000044;A3;A3V02;M8;2026;Color;Black2;IG1a;Partially modifiable order;4.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;4.02.2026;Following Months;To Be Produced;February
